epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,4428.71,0.43431,0.29046,0.79299,0.93525,1,0.96729,0.8889,0.41471,0.33696,0.80926,0.000470511,0.000470511,0.000470511
60,4502.71,0.44941,0.30068,0.79644,0.93542,1,0.96565,0.8868,0.43557,0.34109,0.80992,0.000449882,0.000449882,0.000449882
61,4576.93,0.42158,0.28502,0.8018,0.93532,1,0.96624,0.88549,0.44644,0.33659,0.81107,0.000429253,0.000429253,0.000429253
62,4650.64,0.41906,0.28789,0.79298,0.93532,1,0.96624,0.88549,0.44644,0.33659,0.81107,0.000408623,0.000408623,0.000408623
63,4725.31,0.4301,0.29311,0.79611,0.93529,1,0.96553,0.88441,0.45054,0.32914,0.81083,0.000387994,0.000387994,0.000387994
64,4800.32,0.41934,0.28282,0.79552,0.93519,1,0.96606,0.88809,0.41924,0.32532,0.80965,0.000367365,0.000367365,0.000367365
65,4874.18,0.42009,0.28446,0.793,0.93526,1,0.96739,0.89155,0.41412,0.33065,0.80973,0.000346736,0.000346736,0.000346736
66,4946.98,0.42675,0.28702,0.78941,0.93522,1,0.96613,0.8896,0.42181,0.33167,0.81027,0.000326107,0.000326107,0.000326107
67,5020.22,0.40393,0.27477,0.79517,0.93528,1,0.96051,0.88403,0.43941,0.33356,0.81094,0.000305478,0.000305478,0.000305478
68,5094.65,0.43308,0.28307,0.80148,0.9354,1,0.9577,0.88068,0.44116,0.33318,0.81019,0.000284849,0.000284849,0.000284849
69,5170.36,0.40667,0.27326,0.7966,0.93538,1,0.95711,0.88394,0.43378,0.3308,0.80961,0.00026422,0.00026422,0.00026422
70,5243.34,0.40766,0.2698,0.79872,0.93538,1,0.95711,0.88394,0.43378,0.3308,0.80961,0.00024359,0.00024359,0.00024359
71,5315.95,0.40453,0.27439,0.78739,0.93537,1,0.95856,0.88889,0.42133,0.32528,0.80835,0.000222961,0.000222961,0.000222961
72,5388.51,0.4002,0.26537,0.79122,0.93527,1,0.96211,0.88948,0.41577,0.32849,0.80758,0.000202332,0.000202332,0.000202332
73,5459.46,0.3863,0.25868,0.79638,0.93531,1,0.9649,0.88482,0.41993,0.33329,0.80756,0.000181703,0.000181703,0.000181703
74,5532.59,0.39354,0.26515,0.78072,0.93515,1,0.96462,0.88147,0.43399,0.33535,0.80816,0.000161074,0.000161074,0.000161074
75,5604.6,0.39587,0.26408,0.795,0.93517,1,0.96413,0.88256,0.43671,0.33314,0.80837,0.000140445,0.000140445,0.000140445
76,5674.73,0.40274,0.27179,0.78731,0.93519,1,0.96625,0.88691,0.43397,0.33298,0.80814,0.000119816,0.000119816,0.000119816
77,5746.91,0.38837,0.25979,0.78701,0.93519,1,0.96501,0.88976,0.42824,0.32987,0.80782,9.91865e-05,9.91865e-05,9.91865e-05
78,5817.93,0.41465,0.27871,0.78606,0.93519,1,0.96501,0.88976,0.42824,0.32987,0.80782,7.85574e-05,7.85574e-05,7.85574e-05
79,5884.28,0.39798,0.26688,0.79452,0.93521,1,0.96373,0.88941,0.42255,0.32957,0.80747,5.79283e-05,5.79283e-05,5.79283e-05
80,5947.52,0.38777,0.25817,0.78994,0.93522,1,0.96302,0.88914,0.4225,0.32968,0.80746,3.72991e-05,3.72991e-05,3.72991e-05
