epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,4932.94,0.58552,0.31661,0.85671,0.99104,0.99997,0.99096,0.86102,0.55779,0.31042,0.8971,0.000553027,0.000553027,0.000553027
56,5024.23,0.58727,0.31629,0.84771,0.99108,1,0.99082,0.86204,0.55672,0.31211,0.89294,0.000532398,0.000532398,0.000532398
57,5115.02,0.59136,0.32321,0.8442,0.99116,1,0.9913,0.85993,0.57446,0.31265,0.91325,0.000511769,0.000511769,0.000511769
58,5206.45,0.59011,0.32056,0.85763,0.9916,1,0.98884,0.86158,0.55313,0.30533,0.90843,0.00049114,0.00049114,0.00049114
59,5298.37,0.54399,0.30553,0.85343,0.99149,1,0.98897,0.87537,0.54578,0.30551,0.89536,0.000470511,0.000470511,0.000470511
60,5389.84,0.57656,0.30685,0.84596,0.99109,1,0.98904,0.86665,0.57501,0.31393,0.89825,0.000449882,0.000449882,0.000449882
61,5480.17,0.57607,0.31015,0.84448,0.99046,0.99986,0.98925,0.85766,0.5918,0.31052,0.91373,0.000429253,0.000429253,0.000429253
62,5575.75,0.57709,0.30956,0.84577,0.99081,1,0.98877,0.86012,0.5917,0.31545,0.91673,0.000408623,0.000408623,0.000408623
63,5677.51,0.55805,0.30586,0.84548,0.9909,1,0.98863,0.8624,0.58461,0.30711,0.90682,0.000387994,0.000387994,0.000387994
64,5780.82,0.58042,0.30947,0.84262,0.99098,1,0.98884,0.86122,0.60754,0.31154,0.90859,0.000367365,0.000367365,0.000367365
65,5879.33,0.57059,0.31084,0.85491,0.99107,1,0.98904,0.86844,0.54958,0.29273,0.89767,0.000346736,0.000346736,0.000346736
66,5972.75,0.55742,0.29388,0.84325,0.99117,1,0.99007,0.86667,0.56225,0.29602,0.90475,0.000326107,0.000326107,0.000326107
67,6066.49,0.57045,0.3017,0.84867,0.99058,1,0.99034,0.85905,0.58442,0.30804,0.91377,0.000305478,0.000305478,0.000305478
68,6157.97,0.54812,0.30006,0.84938,0.99073,1,0.99363,0.85656,0.59128,0.30817,0.9114,0.000284849,0.000284849,0.000284849
69,6247.73,0.54482,0.29417,0.84246,0.99089,1,0.99397,0.87311,0.55295,0.29657,0.89955,0.00026422,0.00026422,0.00026422
70,6338.82,0.5408,0.28761,0.83909,0.9911,1,0.9937,0.87316,0.55356,0.29243,0.8998,0.00024359,0.00024359,0.00024359
71,6428.05,0.5322,0.28645,0.83375,0.99107,1,0.99199,0.86452,0.56261,0.29597,0.90788,0.000222961,0.000222961,0.000222961
72,6515.34,0.53279,0.28637,0.83726,0.99151,1,0.9924,0.86526,0.55135,0.2941,0.90639,0.000202332,0.000202332,0.000202332
73,6611.77,0.52729,0.28005,0.84106,0.99155,1,0.99349,0.86855,0.54732,0.29601,0.9048,0.000181703,0.000181703,0.000181703
74,6708.66,0.535,0.28371,0.83845,0.9914,1,0.99425,0.86526,0.55396,0.29676,0.90635,0.000161074,0.000161074,0.000161074
75,6810.9,0.51641,0.27499,0.82345,0.99156,1,0.99466,0.87507,0.55571,0.29291,0.90815,0.000140445,0.000140445,0.000140445
76,6913.24,0.51463,0.27439,0.83363,0.99169,1,0.99445,0.87919,0.54598,0.28672,0.90526,0.000119816,0.000119816,0.000119816
77,7021.8,0.50726,0.27225,0.83111,0.99194,1,0.99342,0.87881,0.53963,0.28447,0.90193,9.91865e-05,9.91865e-05,9.91865e-05
78,7120.74,0.50891,0.27026,0.82973,0.99202,1,0.99219,0.87506,0.54456,0.286,0.90253,7.85574e-05,7.85574e-05,7.85574e-05
79,7213.74,0.50634,0.26767,0.82511,0.99207,1,0.99116,0.86995,0.55199,0.28754,0.90269,5.79283e-05,5.79283e-05,5.79283e-05
80,7302.42,0.50856,0.26846,0.83316,0.99207,1,0.99116,0.87029,0.555,0.28802,0.90383,3.72991e-05,3.72991e-05,3.72991e-05
