product_norm,period_start,period_end,cheapest_branch,cheapest_price,num_branches_compared
FILÉ DE PEITO DE FRANGO CONGELADO KG,10.11,16.11,JUAZEIRO DO NORTE,16.80,3
FILÉ DE PEITO DE FRANGO CONGELADO KG,17.11,23.11,JUAZEIRO DO NORTE,16.50,3
FILÉ DE PEITO DE FRANGO CONGELADO KG,24.11,30.11,JUAZEIRO DO NORTE,16.50,3
FLOCÃO DE MILHO FORTEMILHO 4009,01.12,07.12,CAMPINA GRANDE,0.88,2
FLOCÃO DE MILHO FORTEMILHO 4009,03.11,09.11,CAMPINA GRANDE,0.80,2
FLOCÃO DE MILHO FORTEMILHO 4009,17.11,23.11,CAMPINA GRANDE,0.83,2
FLOCÃO DE MILHO PINDORAMA 5009,29.09,05.10,VITÓRIA DA CONQUISTA,1.00,2
FLOCÃO DE MILHO REI DE OURO 500G,10.11,16.11,CAMPINA GRANDE,0.80,2
FLOCÃO DE MILHO SÃO BRAZ 500G,24.11,30.11,CAMPINA GRANDE,1.80,2
FRALDA DESCARTÁVEL FOFURA BABY PRÁTICO,13.10,19.10,BRUMADO,13.00,2
FRANGO RESFRIADO NATURAVES KG,03.11,06.11,BRUMADO,8.00,2
FÍGADO BOVINO CONGELADO KG,01.12,07.12,CAMPINA GRANDE,9.80,3
FÍGADO BOVINO CONGELADO KG,03.11,06.11,BRUMADO,11.00,2
FÍGADO BOVINO CONGELADO KG,03.11,09.11,JUAZEIRO DO NORTE,10.89,3
FÍGADO BOVINO CONGELADO KG,10.11,16.11,CAMPINA GRANDE,10.80,3
FÍGADO BOVINO CONGELADO KG,17.11,23.11,CAMPINA GRANDE,10.30,3
FÍGADO BOVINO CONGELADO KG,24.11,30.11,JUAZEIRO DO NORTE,9.80,3
GALINHA MAGRA CONGELADA KG,03.11,06.11,BRUMADO,5.80,2
GALINHA MAGRA CONGELADA KG,06.10,12.10,BRUMADO,5.80,3
GELADINHO ICE POP 40X 55ML,06.10,12.10,VITÓRIA DA CONQUISTA,7.80,4
HAMBÚRGUER MISTO FRIARA 569,03.11,06.11,BRUMADO,0.80,2
HAMBÚRGUER MISTO FRIARA 569,13.10,19.10,BRUMADO,0.00,2
IPE JR» O — E,03.11,09.11,CAMPINA GRANDE,6.00,2
JERKED BEEF PONTA AGULHA KG,03.11,06.11,BRUMADO,34.80,2
JERKED BEEF PONTA DE AGULHA KG,01.12,07.12,CAMPINA GRANDE,32.80,2
JERKED BEEF PONTA DE AGULHA KG,03.11,09.11,CAMPINA GRANDE,39.80,2
JERKED BEEF PONTA DE AGULHA KG,06.10,12.10,CAMPINA GRANDE,33.00,3
JERKED BEEF PONTA DE AGULHA KG,10.11,16.11,CAMPINA GRANDE,35.00,2
JERKED BEEF PONTA DE AGULHA KG,17.11,23.11,CAMPINA GRANDE,32.80,2
LEITE CONDENSADO ITALAC 3959,01.12,07.12,CAMPINA GRANDE,4.80,3
LEITE CONDENSADO ITALAC 3959,03.11,06.11,BRUMADO,5.28,2
LEITE CONDENSADO ITALAC 3959,03.11,09.11,CAMPINA GRANDE,5.80,3
LEITE CONDENSADO ITALAC 3959,06.10,12.10,JOÃO PESSOA,5.08,5
LEITE CONDENSADO ITALAC 3959,24.11,30.11,CAMPINA GRANDE,5.28,3
LEITE CONDENSADO ITALAC TP 3959,17.11,23.11,CAMPINA GRANDE,4.80,3
LEITE EM PÓ BETÂNIA 200G,13.10,19.10,BRUMADO,7.20,2
LEITE EM PÓ INTEGRAL ITALAC SACHÊ 2009,01.12,07.12,CAMPINA GRANDE,6.00,2
LEITE EM PÓ INTEGRAL ITALAC SACHÊ 2009,10.11,16.11,CAMPINA GRANDE,6.00,2
LEITE EM PÓ INTEGRAL ITALAC SACHÊ 200G,03.11,06.11,BRUMADO,6.80,2
LEITE EM PÓ INTEGRAL ITALAC SACHÊ 200G,03.11,09.11,CAMPINA GRANDE,6.00,2
LEITE EM PÓ INTEGRAL ITALAC SACHÊ 200G,06.10,12.10,JOÃO PESSOA,7.80,2
LEITE EM PÓ INTEGRAL ITALAC SACHÊ 200G,17.11,23.11,CAMPINA GRANDE,6.00,2
LEITE EM PÓ INTEGRAL ITALAC SACHÊ 200G,24.11,30.11,CAMPINA GRANDE,6.00,3
LEITE EM PÓ INTEGRAL ITALAC SACHÊ 200G,29.09,05.10,VITÓRIA DA CONQUISTA,7.80,2
LEITE LONGA VIDA BETÂNIA INTEGRAL OU DESNATADO 1 LITRO,06.10,12.10,VITÓRIA DA CONQUISTA,4.00,2
LEITE LONGA VIDA INTEGRAL BETÂNIA 1 LITRO,03.11,06.11,BRUMADO,4.80,2
LEITE LONGA VIDA NATVILLE 1 LITRO,01.12,07.12,CAMPINA GRANDE,4.28,2
LEITE LONGA VIDA NATVILLE 1 LITRO,10.11,16.11,CAMPINA GRANDE,4.80,3
LEITE LONGA VIDA NATVILLE 1 LITRO,17.11,23.11,CAMPINA GRANDE,4.28,2
LEITE LONGA VIDA NATVILLE 1 LITRO,24.11,30.11,CAMPINA GRANDE,4.38,2
LIMPADOR UAU PERFUMADO LEVE 1 LITRO PAGUE 800ML,29.09,05.10,BRUMADO,7.80,2
LINGUIÇA CALABRESA DEFUMADA PERDIGÃO KG,01.12,07.12,CAMPINA GRANDE,25.50,2
LINGUIÇA DEFUMADA CALABRESA FINA NATURAVES KG,06.10,12.10,BRUMADO,16.50,2
LINGUIÇA DEFUMADA CALABRESA PERDIGÃO KG,03.11,06.11,BRUMADO,24.89,2
LINGUIÇA DEFUMADA CALABRESA PERDIGÃO KG,10.11,16.11,CAMPINA GRANDE,25.80,2
LINGUIÇA EM GOMOS P/ CHURRASCO AURORA KG,03.11,09.11,CAMPINA GRANDE,17.40,3
LINGUIÇA EM GOMOS P/ CHURRASCO AURORA KG,10.11,16.11,CAMPINA GRANDE,16.20,3
LINGUIÇA EM GOMOS P/ CHURRASCO AURORA KG,24.11,30.11,CAMPINA GRANDE,16.00,2
LINGUIÇA MISTA EM GOMOS P/ CHURRASCO FRIATO KG,01.12,07.12,CAMPINA GRANDE,15.80,2
LINGUIÇA MISTA EM GOMOS P/ CHURRASCO FRIATO KG,17.11,23.11,CAMPINA GRANDE,15.00,2
