product_norm,branch,period_start,period_end,num_occurrences,price_mean,price_min,price_max
AÇÚCAR TRITURADO ALEGRE 1KG,JOÃO PESSOA,17.11,23.11,1,2.80,2.80,2.80
AÇÚCAR TRITURADO ALEGRE 1KG,JOÃO PESSOA,24.11,30.11,1,2.80,2.80,2.80
AÇÚCAR VIDA CRISTAL OU REFINADO 1KG,BRUMADO,29.09,05.10,1,3.00,3.00,3.00
BACON MANTA FRISA KG,VITÓRIA DA CONQUISTA,29.09,05.10,1,28.50,28.50,28.50
BACON MANTA PERDIGÃO KG,CAMPINA GRANDE,01.12,07.12,1,27.89,27.89,27.89
BACON MANTA PERDIGÃO KG,CAMPINA GRANDE,03.11,09.11,1,27.00,27.00,27.00
BACON MANTA PERDIGÃO KG,CAMPINA GRANDE,10.11,16.11,1,27.59,27.59,27.59
BACON MANTA PERDIGÃO KG,CAMPINA GRANDE,17.11,23.11,1,27.00,27.00,27.00
BACON MANTA PERDIGÃO KG,JOÃO PESSOA,01.12,07.12,1,27.89,27.89,27.89
BACON MANTA PERDIGÃO KG,JOÃO PESSOA,03.11,09.11,1,27.00,27.00,27.00
BACON MANTA PERDIGÃO KG,JOÃO PESSOA,10.11,16.11,1,27.59,27.59,27.59
BACON MANTA PERDIGÃO KG,JOÃO PESSOA,17.11,23.11,1,27.00,27.00,27.00
BACON PALETA KG,JUAZEIRO DO NORTE,01.12,07.12,1,32.80,32.80,32.80
BALA DE GELATINA FINI SABORES 809,BRUMADO,06.10,12.10,1,6.30,6.30,6.30
BALA DE GELATINA FINI SABORES 809,JOÃO PESSOA,06.10,12.10,1,6.00,6.00,6.00
BALA DE GELATINA FINI SABORES 80G,CAMPINA GRANDE,06.10,12.10,1,6.20,6.20,6.20
BALA DE GELATINA FINI SABORES 80G,JUAZEIRO DO NORTE,06.10,12.10,1,6.20,6.20,6.20
BALA FINI TUBES GIGANTE SABORES 219,VITÓRIA DA CONQUISTA,06.10,12.10,1,2.80,2.80,2.80
BALA FINI TUBES GIGANTE SABORES 270,JOÃO PESSOA,06.10,12.10,1,1.00,1.00,1.00
BALA GELAT FINI 80G SABORES,VITÓRIA DA CONQUISTA,06.10,12.10,1,6.80,6.80,6.80
BATATA CONGELADA MASTERBOI 2KG,BRUMADO,13.10,19.10,1,19.30,19.30,19.30
BATATA CONGELADA MASTERBOI 2KG,VITÓRIA DA CONQUISTA,13.10,19.10,1,19.80,19.80,19.80
BATATA CONGELADA UAI 2KG,BRUMADO,03.11,06.11,1,19.00,19.00,19.00
BATATA CONGELADA UAI 2KG,BRUMADO,06.10,12.10,1,22.80,22.80,22.80
